FILE NAME,REQUIRED BINS,EXTRA BINS,TIME TAKEN(ms)
N1C3W2_A.BPP,19,0,0.0
N1C3W2_B.BPP,21,1,0.0
N1C3W2_C.BPP,22,0,0.9980201721191406
N1C3W2_D.BPP,20,0,0.9963512420654297
N1C3W2_E.BPP,21,0,1.0159015655517578
N1C3W2_F.BPP,23,0,0.0
N1C3W2_G.BPP,23,0,0.0
N1C3W2_H.BPP,23,0,0.0
N1C3W2_I.BPP,20,1,0.0
N1C3W2_J.BPP,22,0,0.0
N1C3W2_K.BPP,22,1,0.0
N1C3W2_L.BPP,21,0,0.0
N1C3W2_M.BPP,22,1,0.0
N1C3W2_N.BPP,22,0,0.0
N1C3W2_O.BPP,21,0,0.0
N1C3W2_P.BPP,19,1,0.9982585906982422
N1C3W2_Q.BPP,19,0,0.9996891021728516
N1C3W2_R.BPP,20,1,0.0
N1C3W2_S.BPP,21,0,0.0
N1C3W2_T.BPP,22,0,0.0
N1C3W4_A.BPP,22,1,0.0
N1C3W4_B.BPP,23,1,0.0
N1C3W4_C.BPP,24,0,0.0
N1C3W4_D.BPP,22,1,0.0
N1C3W4_E.BPP,23,0,0.0
N1C3W4_F.BPP,22,1,0.0
N1C3W4_G.BPP,24,1,0.0
N1C3W4_H.BPP,23,0,0.0
N1C3W4_I.BPP,23,0,0.0
N1C3W4_J.BPP,23,1,0.0
N1C3W4_K.BPP,24,0,0.9968280792236328
N1C3W4_L.BPP,21,1,0.0
N1C3W4_M.BPP,21,0,2.9900074005126953
N1C3W4_N.BPP,21,0,0.0
N1C3W4_O.BPP,22,0,0.9963512420654297
N1C3W4_P.BPP,25,0,0.9973049163818359
N1C3W4_Q.BPP,25,0,0.0
N1C3W4_R.BPP,22,0,0.0
N1C3W4_S.BPP,22,0,0.0
N1C3W4_T.BPP,25,1,0.0
N2C1W1_A.BPP,48,0,0.9973049163818359
N2C1W1_B.BPP,49,0,0.0
N2C1W1_C.BPP,46,0,0.0
N2C1W1_D.BPP,50,0,0.9973049163818359
N2C1W1_E.BPP,58,0,0.9965896606445312
N2C1W1_F.BPP,50,0,0.9977817535400391
N2C1W1_G.BPP,60,0,0.0
N2C1W1_H.BPP,52,0,0.0
N2C1W1_I.BPP,62,0,0.0
N2C1W1_J.BPP,59,0,0.9973049163818359
N2C1W1_K.BPP,55,0,0.9977817535400391
N2C1W1_L.BPP,55,0,0.9984970092773438
N2C1W1_M.BPP,46,0,0.0
N2C1W1_N.BPP,48,0,0.0
N2C1W1_O.BPP,48,0,0.0
N2C1W1_P.BPP,54,0,0.9989738464355469
N2C1W1_Q.BPP,46,0,1.0051727294921875
N2C1W1_R.BPP,56,0,0.9939670562744141
N2C1W1_S.BPP,45,0,0.0
N2C1W1_T.BPP,52,0,0.0
N2C1W2_A.BPP,64,0,0.0
N2C1W2_B.BPP,61,0,0.9977817535400391
N2C1W2_C.BPP,68,0,0.9980201721191406
N2C1W2_D.BPP,74,0,0.0
N2C1W2_E.BPP,65,0,0.0
N2C1W2_F.BPP,65,0,0.9970664978027344
N2C1W2_G.BPP,73,0,0.0
N2C1W2_H.BPP,70,0,0.9970664978027344
N2C1W2_I.BPP,67,0,0.9965896606445312
N2C1W2_J.BPP,67,0,0.9973049163818359
N2C1W2_K.BPP,72,0,0.9973049163818359
N2C1W2_L.BPP,62,0,0.9973049163818359
N2C1W2_M.BPP,65,0,0.9975433349609375
N2C1W2_N.BPP,64,0,0.0
N2C1W2_O.BPP,64,0,0.9968280792236328
N2C1W2_P.BPP,68,0,2.9921531677246094
N2C1W2_Q.BPP,65,0,0.9973049163818359
N2C1W2_R.BPP,67,0,0.0
N2C1W2_S.BPP,66,0,0.0
N2C1W2_T.BPP,66,0,0.9973049163818359
N2C1W4_A.BPP,73,0,1.0116100311279297
N2C1W4_B.BPP,71,0,0.9968280792236328
N2C1W4_C.BPP,77,0,0.9968280792236328
N2C1W4_D.BPP,82,0,0.0
N2C1W4_E.BPP,73,0,0.9970664978027344
N2C1W4_F.BPP,77,0,0.9989738464355469
N2C1W4_G.BPP,71,0,0.0
N2C1W4_H.BPP,75,0,0.9973049163818359
N2C1W4_I.BPP,73,0,0.9975433349609375
N2C1W4_J.BPP,74,0,0.0
N2C1W4_K.BPP,70,0,0.9987354278564453
N2C1W4_L.BPP,75,0,0.9958744049072266
N2C1W4_M.BPP,72,0,0.0
N2C1W4_N.BPP,71,0,0.9965896606445312
N2C1W4_O.BPP,80,0,0.9975433349609375
N2C1W4_P.BPP,67,0,0.0
N2C1W4_Q.BPP,75,0,0.9970664978027344
N2C1W4_R.BPP,70,0,0.9973049163818359
N2C1W4_S.BPP,80,0,0.9968280792236328
N2C1W4_T.BPP,70,0,0.0
N2C2W1_A.BPP,42,0,0.0
N2C2W1_B.BPP,50,0,0.9968280792236328
N2C2W1_C.BPP,40,0,0.9968280792236328
N2C2W1_D.BPP,42,0,0.9977817535400391
N2C2W1_E.BPP,40,0,0.9965896606445312
