FILE NAME,REQUIRED BINS,EXTRA BINS,TIME TAKEN(ms)
N1C1W4_Q.BPP,34,0,0.9024143218994141
N1C1W4_R.BPP,38,0,1.0669231414794922
N1C1W4_S.BPP,36,0,0.9279251098632812
N1C1W4_T.BPP,42,0,0.1373291015625
N1C2W1_A.BPP,21,0,0.8599758148193359
N1C2W1_B.BPP,26,0,1.2836456298828125
N1C2W1_C.BPP,23,0,0.7116794586181641
N1C2W1_D.BPP,21,0,0.9973049163818359
N1C2W1_E.BPP,17,0,0.9970664978027344
N1C2W1_F.BPP,22,0,0.0
N1C2W1_G.BPP,21,0,1.371622085571289
N1C2W1_H.BPP,23,0,0.6229877471923828
N1C2W1_I.BPP,27,0,1.1260509490966797
N1C2W1_J.BPP,27,0,0.0
N1C2W1_K.BPP,24,0,1.5916824340820312
N1C2W1_L.BPP,25,0,0.27298927307128906
N1C2W1_M.BPP,26,0,1.1172294616699219
N1C2W1_N.BPP,21,0,0.9200572967529297
N1C2W1_O.BPP,15,0,0.9555816650390625
N1C2W1_P.BPP,21,0,8.978605270385742
N1C2W1_Q.BPP,24,0,0.9946823120117188
N1C2W1_R.BPP,23,0,0.99945068359375
N1C2W1_S.BPP,22,0,0.0
N1C2W1_T.BPP,22,0,1.041412353515625
N1C2W2_A.BPP,24,0,1.3661384582519531
N1C2W2_B.BPP,27,0,0.5819797515869141
N1C2W2_C.BPP,29,0,2.0525455474853516
N1C2W2_D.BPP,24,0,0.9875297546386719
N1C2W2_E.BPP,33,0,0.9500980377197266
N1C2W2_F.BPP,26,0,1.0569095611572266
N1C2W2_G.BPP,29,0,0.2429485321044922
N1C2W2_H.BPP,24,1,0.6949901580810547
N1C2W2_I.BPP,25,0,0.9973049163818359
N1C2W2_J.BPP,25,0,1.0309219360351562
N1C2W2_K.BPP,29,0,0.9632110595703125
N1C2W2_L.BPP,30,0,0.9341239929199219
N1C2W2_M.BPP,30,0,0.0
N1C2W2_N.BPP,26,0,1.5668869018554688
N1C2W2_O.BPP,29,0,0.4277229309082031
N1C2W2_P.BPP,23,0,0.99945068359375
N1C2W2_Q.BPP,30,0,1.0094642639160156
N1C2W2_R.BPP,25,0,0.0
N1C2W2_S.BPP,24,0,1.3811588287353516
N1C2W2_T.BPP,26,0,0.5991458892822266
